- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Prevented directional-burst hold leakage during shoot-lockout: homing-missile impact now clears burst tracking and `updateRearShotTracking` now hard-gates on `player.attackDisableTimer`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Made song candidate floor resolution strict: invalid/non-finite floor IDs now return no candidates (instead of falling back to floor 1).
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Hardened `resolveFloorIdForBombGate()` to avoid coercing invalid floor context into floor 1 so PLAYING space-bomb activation cannot unlock incorrectly on floor 1 edge-cases.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped local script cache-bust token to `v=20260221-1` across gameplay/runtime files so latest music/input/visual logic loads immediately after refresh.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped runtime cache-bust token to `v=20260221-3` so space-bomb and render/audio fixes load without stale cache.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Aligned `MUSIC_CACHE_BUST` to `v=20260221-3` to force background track refresh when song files change.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Expanded movement/shoot sprite fallback to include case-insensitive player sprite aliases and shoot-mode movement fallback (`front/back/left/right`) to remove intermittent visual misses.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Hardened space-bomb gating by clamping floor-id resolution for unlock checks to known floor range and using explicit `isBombUnlocked()` guard on gameplay SPACE input.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Fixed browser autoplay-policy rejection path: blocked `play()` no longer consumes fallback candidates and now retries the same track on next user gesture (`pointerdown|mousedown|keydown|touchstart`).
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Bumped `MUSIC_CACHE_BUST` to `v=20260221-1` for cache-refreshable music track reload behavior.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Enforced floor-unlock checks in both `canTriggerBombNow()` and `triggerBomb()` plus finite `isBombUnlocked()` validation; added robust floor-id guard in `playFloorMusicForFloor()` to avoid invalid-floor music fallback and accidental floor-1 space usage.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Removed residual velocity-based player facing fallback; standing/idle direction now uses active input precedence and persistent last facing, which resolves intermittent sprite jitter when movement halts.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Bumped `CHARACTER_ART_CACHE_BUST` to `v=20260221-1` to force refreshed character asset cache on sprite-path changes.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Player direction resolver no longer falls back to stale aim vector when movement/shoot input is absent, eliminating idle sprite jitter from `lastAimX/lastAimY` bleed-through.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Hardening space-bomb gate to require current floor id >= unlock floor at trigger time (not just precomputed gate state), preventing accidental SPACE activation on level 1 and similar edge floors.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Added floor-aware looped background music module with candidate path fallback and guarded play/stop APIs.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Wired `beginCurrentFloor()` to start floor music and terminal transitions (`toTitle`, `enterGameOver`, victory) to stop music.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Added `src/audio.js` load before `systems.js` and bumped script cache token to `v=20260219-3`.
- /Users/abelsanchez/CODEX/WONDERLAND/final_build/COMPONENT__Audio.txt | completed | Added component spec for audio contracts, state, and acceptance checks.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Player shoot/move input resolution now reads active arrow input directly (`Arrow*` + lastShootKey fallback) before direction fallback, and dual burst uses `DUAL.png`/`dual.png` when active.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Labeled-first character sprite routing now resolves to `Front.png/back.png/left.png/right.png` and `Down_Shoot.png/UP_shoot.png/Left_shoot.png/Right_shoot.png`, with canonical/legacy fallback preserved.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped script cache-bust token to `v=20260218-10` for immediate cache refresh of runtime mapping changes.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Dual/omni burst sprite override wired so `assets/characters/player/main/DUAL.png` is used during active directional burst while keeping movement/shoot fallback chain.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Sprite mode cache keying now includes `move|shoot|dual`, and player art mode resolver uses `systems.getDirectionalBurstStatus()` with a small render-frame stability gate.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped script cache-bust token to `v=20260218-11` for this render-mode update.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Completed gameplay bootstrap and content integrity smoke checks: script loads successfully, floor IDs 1..13 valid, wave enemy IDs and timing constraints validated.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Replace per-frame/per-spawn object allocations with reusable object pools and epoch-based collision gating.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Hardened `applyPlayerDamage` by sanitizing non-finite hit source coordinates before knockback and routed debug logs through a shared guard; next action: run an interactive repro (`game.showDebugStats = true`) for blocked-hit reason coverage and invuln/shield/state edge validation.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Re-check floor intro/lesson/death overlay clipping and baseline alignment.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Mapped root PNG assets to directional sprite keys (`front/left/right/back`) and switched image load to `encodeURI(path)` so filenames with spaces/parentheses load reliably.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped script cache-bust token to `v=20260216-1` for all game scripts so live clients fetch updated render/main code instead of stale cached bundles.
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Keep narrative copy and gameplay content consistent with latest overlays.
- DEPLOY | completed | Push latest fixset and verify live site refresh from HEAD.
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Add Floors 10–15 content entries and ensure floor sequence is 1–15 only.
- /Users/abelsanchez/CODEX/WONDERLAND/narrative.js | completed | Add teachCards floors 10–15 (new concept entries only).
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Add late-floor archetype pressure (10–15) with two new ENEMY_DEFS types phased in 12–15.
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Validate late-floor 10–15 tuning pass/fail: spawn-score metric is monotonically increasing 10→15 and wave endTime constraints hold.
- /Users/abelsanchez/CODEX/WONDERLAND/deploy | completed | Verified live GH Pages payload: floor IDs 1–13 and teach cards 1–13 synchronized in remote `src/content.js` and `narrative.js`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Headless transition smoke check verified: forced floor 10 path reaches PLAYING via UPGRADE_SELECT→LESSON_SLIDE→FLOOR_INTRO with no state errors.
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Restored Floor 14 and Floor 15 definitions in `FLOORS` to recover full 1–15 progression after user-reported level loss.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped script cache token to `v=20260218-1` so clients fetch restored 1–15 floor content immediately.
- /Users/abelsanchez/CODEX/WONDERLAND/user_test | completed | User to validate manual floor 10 start from title/console and collect first-pass tuning notes using checkpoint or direct startRun(10).
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Implemented world-only background strip-warp distortion (PROMPT 7) in `updateDynamicLayer()` with WORLD clipping, reduced-motion gating, per-floor orientation, and quality/floor trippy-based amplitude caps.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Implemented floor identity FX packs (1–15), expanded `hasDynamicFloorVisuals` to 1..15, and added pack-driven floor skin static/dynamic dispatch with explicit late-floor (`10–13`) theme + motion overlays.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Investigated post-floor-9 animation flatline report and upgraded floors `10–13` visuals to keep dynamic identity visible: added explicit `FLOOR_VISUAL_THEME` entries for `10–13` and post-nine static/dynamic overlay layers.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Prompt 9 pressure escalation integration is complete: floor dynamic identities now scale density/motion by composed `easeInOutSine` progress and danger via `getDynamicEscalation`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Fix regression in `drawEvolutionDissolve` fallback alpha; replace undefined `progression(progress)` call with escalation-derived `baseAlpha`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Implement optional high-tier chroma edge split: clipped thin WORLD border band (14px) redraw in support accent with per-pass alpha 0.02, gated by quality == "high" and `toggles.chroma`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Implement PROMPT 11 reduced-motion verification: auto-disable trails/chroma/grain, cap distortion in reduced motion to ≤1px, enforce reduced-motion background/parallax scale, and keep non-hud overlays motion-safe.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Implement Prompt 12 performance pass: add debug overlay stats (FX tier, particle count, render cache hits/misses) and eliminate per-frame Set churn in `updateFxState` and `pruneBulletTrails`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Fix run summary overlays and floor-clear footer progression logic: proper summary pill text anchor x-positions and `FLOORS.length`-based clear footer gating.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Implement Prompt 6: add render-only fxParticles effect stream with pooled hit sparks and death dissolve fragments.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Added directional player character rendering in `drawPlayer` with lazy per-direction sprite path; if assets are missing, a built-in facing-aware procedural model now renders instead of the legacy cog to keep the model visually updated.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Implemented GLFX world post-process in `draw()` after world restore and before HUD overlay, with reduced-motion and fallback-safe behavior.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Hardened GLFX integration: status/error tracking, reduced-motion noise suppression, and GLFX state surfacing in debug overlay.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Reworked `drawPlayer` head into a rotating cog motif with subtle color modulation from visual theme support palette and FX intensity.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | blocked | Browser smoke validation not run in this environment (headless tooling only); next action: run a local interactive browser session to enable `game.showDebugStats`, verify GLFX world pass + cog-head visuals render correctly with no HUD distortion in PLAYING, and validate reduced-motion profile behavior.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Migrated player and enemy sprite loading to bucket-based resolver (`assets/characters/...`) with legacy fallback, runtime cache diagnostics (`getSpriteLoadState`), and procedural fallback preservation.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Updated player-facing resolution to prioritize active shoot input direction (aim vector) over movement velocity and bumped sprite cache-bust token to `v=20260218-1`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Added robust shoot-frame name fallback aliases (`shoot_up/down/left/right`) so directional art loads even when filenames are not strictly `shoot_front/back` canonical.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Fixed sprite-path cache staleness by resetting character cache entries when resolved candidate sets change and gated shoot-mode visuals to `GameState.PLAYING` only; deterministic runtime probes now confirm `WASD` movement-only, `Arrow*` shooting-only, and combined movement+shoot behavior.
- /Users/abelsanchez/CODEX/WONDERLAND/src/main.js | completed | Fixed deterministic stepping drift by using rounded 60Hz step counts in `window.advanceTime(ms)` so `advanceTime(1000)` yields 60 steps instead of 59.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Cleared canonical input state at `toTitle()` entry to prevent latched movement/shoot keys from leaking across resets.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Cleared `activeWaves` inside `resetCollections()` so restart/title transitions cannot retain stale spawn schedules.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Unified malformed sprite decode handling with candidate retry flow (`advanceToNextCandidateOrMissing`) so invalid loaded frames continue to fallback candidates.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Hardened player sprite width clamp to use normalized safe radius for both clamp bounds, preventing NaN-prone width calculations when raw radius is malformed.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Refined shoot input handling so `lastShootKey` is cleared on full reset and refreshed on directional shoot-key keyup, preventing stale shoot direction after key transitions.
- /Users/abelsanchez/CODEX/WONDERLAND/src/core.js | completed | Set default `AIPU.input.lastShootKey` to empty state so shoot direction does not default-initialize when no input is active.
- /Users/abelsanchez/CODEX/WONDERLAND/src/core.js | completed | Hardened bootstrap and utility layer against missing/malformed DOM/utility inputs: safe element lookup helpers, canvas/context fallback defaults, finite-guarded RNG/array helpers, and defensive geometry/mouse position checks.
- /Users/abelsanchez/CODEX/WONDERLAND/assets/characters/player/main | completed | Labeled movement/shoot frame set is present; next action: run in-browser verification for `WASD` movement vs arrow shooting artifact-free.
- /Users/abelsanchez/CODEX/WONDERLAND/assets/characters | completed | Created character art bucket structure for player and all ENEMY_DEFS-based enemy types with `.gitkeep` placeholders.
- /Users/abelsanchez/CODEX/WONDERLAND/src/core.js | completed | Hardened input/motion utility defaults (`arrowKeyToVector`, `unitVector`, `hexToRgb`) against malformed inputs and neutralized unknown shoot-key fallback; next action: run an interactive repro for default-key state and malformed-direction behavior by forcing `AIPU.input.lastShootKey` to an unmapped value and checking no upward movement/rotation regressions.
- /Users/abelsanchez/CODEX/WONDERLAND/src/core.js | completed | Added read-only QA diagnostics namespace (`AIPU.qa`) with module graph and sampled state/collection snapshots for automation-safe introspection.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Added `AIPU.render.renderGameToText()` JSON serializer for deterministic automation checks (mode/floor/player/collections/debug snapshot).
- /Users/abelsanchez/CODEX/WONDERLAND/src/main.js | completed | Added deterministic stepping hook `window.advanceTime(ms)` and `window.render_game_to_text()` bridge without altering normal RAF gameplay loop.
- /Users/abelsanchez/CODEX/WONDERLAND/automation | completed | Ran `develop-web-game` Playwright client against local server with deterministic action bursts; captured screenshots + `render_game_to_text` snapshots for briefing, lesson, and live PLAYING states.
- /Users/abelsanchez/CODEX/WONDERLAND/assets/characters/enemies | blocked | Automated run reports expected 404 console errors for missing enemy art buckets (`idle.png/default.png` absent); next action: drop enemy PNGs or add placeholder files per bucket to eliminate load-error noise.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Tightened combat input capture so movement and shooting are canonicalized independently (`KeyWASD` vs `Arrow*`), canonicalized shoot-key releases are used for `lastShootKey`, and raw/non-canonical key writes were removed.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Added homing-missile `"dual"` enemy runtime support: steering logic (`homing_missile` behavior), impact-triggered explosion burst, 3-second player shooting lockout (`attackDisableTimer`), and no damage application on impact.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Removed global spawn starvation for dual wave activity: regular enemy spawns still soft-cap at `58`, while `dual` waves continue spawning through their windows up to a dual cap of `72`, so homing missiles remain visible under traffic.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped script cache-bust token to `20260218-8` so local clients fetch the latest input-routing and render bundles immediately.
- /Users/abelsanchez/CODEX/WONDERLAND/dependency_audit | completed | Verified floor/teach-card parity is 1..15 with no missing IDs and validated all 17 wave enemy types map to 17 `ENEMY_DEFS` keys with zero missing/unused references.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Added hardening for malformed simulation/spawn data: `update()` ignores invalid deltaTime and resets accumulator on corruption; dual-burst floor resolution is now parsed safely; spawn loop and enemy factory defensively sanitize malformed wave configs and rate/timing fields before processing.
- /Users/abelsanchez/CODEX/WONDERLAND/final_build/deploy | blocked | Live GH Pages may still serve old script hashes if remote cache not invalidated. Next action: deploy latest commit and verify remote `src/render.js`/`src/systems.js` include current cache token `v=20260221-1`.
- /Users/abelsanchez/CODEX/WONDERLAND/final_build/deploy | blocked | User requested deploy from this environment but execution policy forbids git-based publication. Next action: run git push from their workstation with updated files in commit and then validate live page and `?v=20260218-10` cache token on `render.js` and `systems.js`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Hardened floor-gated Space-bomb activation by resolving floor IDs from floor override/current floor/index robustly and by requiring `bombChargesPerFloor > 0` before decrement/spawn.
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Added automatic dual-missile spawning on all floors >=2 with frequency scaling by floor progression and behind-player placement to make `dual` appearances frequent across late gameplay.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Upgraded dual/missile procedural renderer to a creepier visual profile (noisy jittered trail, segmented heat fins, pulse-coupled body glow, and unstable face-like glints) without changing gameplay logic.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped cache-bust token to `v=20260219-1` for updated script and sprite-cache-busting alignment.
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Increased dual-missile spawn pressure by injecting two dual waves per floor from floor 2 onward with frequency/speed scaling and behind-player placement.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Added a more oppressive procedural dual-missile look with extra ragged shadow tail, ember drift, broken-fin silhouettes, and crackle accents; no behavior changes.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped script cache-bust token to `v=20260219-2` to force refreshed render/content binaries after dual spawn/visual update.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Stabilized `SPACE` bomb gate by recalculating bomb charge limits from active floor every check, preventing floor1 activation and stale-charged carryover.
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Expanded floor music candidate resolution for additional SONGS naming variants and extension fallbacks to reduce 404 failures.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Bumped `CHARACTER_ART_CACHE_BUST` and aligned index cache tokens to `v=20260220-1` to force fresh sprite/input runtime loading.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Added explicit floor-context and state-aware spacebar gate hardening so SPACE cannot trigger `triggerBomb()` on floor 1 (or invalid floor IDs) and stale charge counters are normalized to zero outside PLAYING.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Added player sprite mode/direction hold-based transition smoothing to prevent movement/shoot frame flicker and bumped `CHARACTER_ART_CACHE_BUST` to `v=20260221-4`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Bumped `MUSIC_CACHE_BUST` and script cache tokens to `v=20260221-4` so browser cache no longer masks latest music/visual/input runtime.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Hardened space-bomb gating to use clamped `game.currentFloorIndex`-derived floor IDs and `isBombUnlocked()` in PLAYING input path, ensuring floor-1 never executes Space bomb.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Suppressed shoot/dual pose mode whenever `player.attackDisableTimer > 0` to prevent locked-out dual-homing visual glitches during burst cooldown.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped all runtime script cache-bust query tokens from `20260221-6` to `20260221-7`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Bumped `MUSIC_CACHE_BUST` to `v=20260221-7` and aligned with current runtime cache token refresh.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Bumped `CHARACTER_ART_CACHE_BUST` to `v=20260221-7` after sprite-state lockout handling update.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Removed duplicate space-bomb gate path and now use `canTriggerBombNow()` as the single PLAYING-floor unlock predicate for space activation.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Removed unused gameplay floor helper `resolveCurrentGameplayFloorId()` and `isBombAvailableOnCurrentFloor()` after resolving floor context through `resolveFloorIdForBombGate()`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Decoupled shoot/dual/movement pose selection from `player.attackDisableTimer` so visual mode follows active Arrow input during lockout.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Bumped `MUSIC_CACHE_BUST` to `v=20260221-16` for deterministic music track refresh on clients after cache invalidation.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Bumped `CHARACTER_ART_CACHE_BUST` to `v=20260221-16` to force fresh sprite cache reads after player art routing update.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped runtime script cache tokens to `v=20260221-16` for audio/render/systems/main consistency.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Fixed bomb gate floor resolution bug: `resolveFloorIdForBombGate(null)` no longer coerces to floor `0`, so floor-2+ SPACE bomb now triggers correctly while floor 1 remains locked.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Bomb briefing intro gate now aligns to `BOMB_UNLOCK_FLOOR` (floor 2), removing incorrect floor-1 bomb briefing flow.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Hardened same-floor replay behavior by removing stale “in-flight” early-return lock; music now retries reliably on floor transitions and user gesture recovery.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Added player sprite cache priming + QA audio state in `render_game_to_text` for deterministic verification of move/shoot/dual art and music runtime state.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Fixed player stance-scale mismatch during direction/mode fallback draw path (fallback frames now use their own direction stance constants), reducing intermittent player sprite “pop/stretch” glitches.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Added `render_game_to_text` player-sprite diagnostics (`facingDirection`, requested/active mode+direction, holdFrames) for deterministic movement/shoot visual debugging.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Removed avoidable dual/shoot mode visual lag: sprite mode now switches immediately when the target frame set is already renderable, and only uses hold-delay when assets are unresolved.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Added shared mode-fallback label resolver to keep draw/fallback and renderability checks consistent for `move|shoot|dual`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Dual burst hold tracking now accumulates across shoot-direction changes while any Arrow key remains active, matching “continuous shooting” behavior instead of “same-direction-only” behavior.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped `systems.js` cache token to `v=20260221-23` so clients immediately pick up updated dual-hold tracking logic.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Fixed stale player sprite-mode state during invulnerability blink: sprite mode state now advances even on blinked frames, preventing stuck `dual/omni` debug/visual state after shoot release.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped `render.js` cache token to `v=20260221-23` for immediate client refresh of blink-state sprite routing fix.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Added centralized `clearDirectionalBurstTracking()` and applied it on non-PLAYING sim ticks plus `enterGameOver`/`enterDeathLesson` transitions to prevent stale burst-hold state leakage.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped `systems.js` cache token to `v=20260221-24` for immediate client rollout of burst-tracking transition reset hardening.
